text,label
Eu nao ia pra escola mas agr eu vou kkkkk,1
Carro capota em via pública:  via @YouTube,0
essas horas em joinville eu estaria me arrumando pra ir pra aula,1
Meu professor de física é a melhor pessoa do mundo,1
24 de junho de 2016 para sempre marcado como o dia em que quase chorei na sala de aula lendo o final do meu pé de laranja lima,1
Lucas teve apresentação hj na escola 😍😍😍😍,1
E amanhã vou à praia 😂👌,2
Esperar vê se mari vai na praia,2
 Vai saber né... Aliás estou com fome pensando no chocolate que vais levar pra viagem 😂🙄,2
agora que era para divertir tinha de ficar doente que raiva,4
Eu estudei igual uma louca e chegou na prova tinha porra nenhuma q eu estudei,1
"Dois morrem após bater moto em ônibus: ​Um acidente entre uma motocicleta e um ônibus na PB-073 , na tarde de... ",0
amanha v a praia cm a minha irma?,2
Andar de moto deixa meu cabelo todo bagunçado 🙄,0
Que linda visita 😚,2
pensando seriamente em não ir pra aula,1
Nunca ri TANTO na aula de história,1
trist eh ver suas amigas tirando total na prova de física enquanto vc só se fode,1
Que preguiça de ir pra escola,1
fucking transito perdi o horario dos meus exames :s,0
vou ir na aula hj,1
"Cheguei do hospital faz um tempinho, morta com dor de cabeça",4
Que sensação boa que da sair da sala de prova,1
Tive uma manhã muito intensa e depois a tarde a praia soube pela vida e para ajudar a por as ideias no sítio,2
"Boa noite , tenho q me arrumar pra aula 😓",1
"sem vontade nenhuma de ir até a escola, mt sono, e hj é sexta né.",1
"A noite cai , meu resfriado piora ..",4
Aula na sexta-feira é pra quebrar o gaúcho 😰,1
Apesar de que a minha mãe me prometeu uma viagem pra Argentina se eu passar no concurso que vou fazer domingo que vem,2
"Professor é um tipo de gente muito vingativo, senhor do céu.",1
Professor Wesley foi na escola hoje nos ver ❤️,1
Cheguei na escola,1
Ai sua prof te coloca pra fazer trabalho com qm vc n ta cv,1
"Daí eu fico pensando: podia ter trem, metrô, barco, canoa, catamarã, aeromóvel (é assim?) e o diabo a quatro. Que sociedade focada em carro.",0
"Só eu mesmo, to indo fazer prova e esqueço a caneta",1
Arrependimento por n ter ido pra escola,1
Lá se vai umas 4hrs de estrada...,0
"Eu vou fazer simulado de geografia e fico bem ""??? Por acaso a gnt estudou isso prof?""",1
Quase chorando pq minha irmã vai pra praia e eu n vou conseguir ir,2
Hj fui à praia,2
bolei um beck lindamente na boléia do carro ontem hahaha,3
Só pra deixar registrado que eu to de parabéns porque essa semana eu nao cheguei nenhum dia atrasada na escola,1
Guilherme é o melhor professor cara ❤❤❤,1
"Depois de três dias seguidos de prova, ninguém merece fazer mais uma no sábado",1
Mas amanha vou cedinho pro hospital,4
Último dia de aula de hoje Mds oque eu vou fazer em 2 meses em casa,1
"To cansado dessa vida de doente, não posso fazer nada...",4
