text,label
Na prova de potuguês fui uma bosta pqp me confudi tdo ...,1
essa gripe ta foda,3
Meu professor de física é a melhor pessoa do mundo,1
"Tô chegando no único hospital que tá funcionando do município, ou seja,amanha eu saio de lá",3
contar p vcs que tirei total na prova de Geografia,1
O carro quebrou mais uma vez,0
Eu estudei igual uma louca e chegou na prova tinha porra nenhuma q eu estudei,1
Quero só ver a gente voltando  bebado de carro lá da festa kkkkkkk,0
1:30 de engarrafamento sem sentido na UFAM putaquepariu,0
essas horas em joinville eu estaria me arrumando pra ir pra aula,1
já ta chato essa história ds assalto,2
Peguei uma gripe absurda,3
O Josué caiu de moto ontem e hoje foi p chácara ande de moto de novo😑😑😑😑,0
Mas amanha vou cedinho pro hospital,3
"Da pra ver na minha cara que não to bem, to com aspecto de doente, to super mal mesmo 🤒🤒",3
agora que era para divertir tinha de ficar doente que raiva,3
Fica a semana toda sem carro 😭😭,0
"Daí eu fico pensando: podia ter trem, metrô, barco, canoa, catamarã, aeromóvel (é assim?) e o diabo a quatro. Que sociedade focada em carro.",0
To queimando de febre,3
"hj a aula de mat me deixou bem triste, pude ver que sou menos inteligente do q eu imaginava &lt;/3",1
se eu ficar doida a culpa é da escola,1
esse resfriado fdp😡,3
consegui errar as coisas mais idiotas possíveis na prova de matemática,1
tô de rolê de moto,0
Estou tendo um princípio de infarto,3
"Não vou agr nem fudendo no hospital, vao me dar injeção e não to afim",3
"Moto é um trem tão perigoso, não ando com qualquer pessoa nunca",0
Acho que estou com febre 😴,3
"gastei 9,90 so de onibus hj e poderia ter gastado apenas 3,30 estaria eu chorando? sim",0
Tou com muita febre 😢,3
"lamentavel ter que correr pra pegar onibus 

lamentavel",0
Deu ruim q tô cm gripe e tô passando pra todo mundo msm pq ngm merece sofrer sozinho,3
"Tô ruim da gripe, mas ok",3
odeio hospital da um desanimo na gente.,3
"anda de carro é top e tals, mas vcs já pegaram um onibus lotado em horário de pico????????",0
Essa gripe que não sai de mim,3
fucking transito perdi o horario dos meus exames :s,0
Guilherme é o melhor professor cara ❤❤❤,1
Peguei a doença do sono gente,3
o bero veio comigo ao hospital ver o meu pai,3
Não tem um moto táxi nessa grota. 😪,0
Nem tô na estrada ainda e a internet já tá um lixo,0
Acidente no Anel Rodoviário deve ta prendendo muito torcedor no trânsito,0
Gripe chegou pra ficar!,3
hoje fui mal na prova ontem fui mal na prova e isso pq era a que eu precisava de mais ponto e as que eu mais dei meu cu pra estudar,1
"não fiquei doente nenhuma vez esse ano, mas se for contar quantas vezes minha rinite atacou..........",3
Odeio essa de não ter carro e não poder sair de casa a hora que eu quiser,0
Que merda ter que voltar de busao,0
E a febre voltou!!,3
"Odeio nariz escorrendo. Me dá uma febre, mas não me dá um nariz escorrendo",3
"Orem continuamente que isso passe, nao to afim de ir ao hospital :(",3
"A gripe me pegou, ta osso agr pprt 😞",3
"Já odiava física, mas o professor novo me fez odiar ainda mais",1
Que gripe,3
vim embora de carro,0
acordei podre da gripe!😤,3
